model,leaf,family,field,n_items,n_instances,n_runs,flipped,wobble,dropped,absent,parse_failure_rate
gemma3-1b,post_money_valuation,priced_equity,post_money_valuation,4,4,80,0,0.000000,0,0,0.000000
gemma3-1b,pre_vs_post_money,priced_equity,pre_vs_post_money,19,19,380,19,1.000000,0,0,0.010526
gemma3-1b,price_per_share,priced_equity,price_per_share,8,8,160,3,0.375000,0,0,0.000000
gemma3-1b,round_size,priced_equity,round_size,10,10,200,5,0.500000,0,0,0.005000
gemma3-1b,per_investor_allocation,priced_equity,per_investor_allocation,5,5,100,1,0.200000,0,0,0.030000
gemma3-1b,liquidation_preference_multiple,priced_equity,liquidation_preference_multiple,9,9,180,6,0.666667,0,0,0.011111
gemma3-1b,participation_type,priced_equity,participation_type,18,18,360,15,0.833333,0,0,0.055556
gemma3-1b,participation_cap,priced_equity,participation_cap,3,3,60,0,0.000000,0,0,0.000000
gemma3-1b,preference_seniority,priced_equity,preference_seniority,11,11,220,5,0.454545,0,0,0.022727
gemma3-1b,dividend_rate_pct,priced_equity,dividend_rate_pct,6,6,120,2,0.333333,0,0,0.041667
gemma3-1b,dividend_cumulative,priced_equity,dividend_cumulative,16,16,320,7,0.437500,0,0,0.000000
gemma3-1b,antidilution_type,priced_equity,antidilution_type,5,5,100,1,0.200000,0,0,0.000000
gemma3-1b,antidilution_base,priced_equity,antidilution_base,10,10,200,4,0.400000,0,0,0.005000
gemma3-1b,conversion_ratio,priced_equity,conversion_ratio,5,5,100,1,0.200000,0,0,0.010000
gemma3-1b,auto_conversion_trigger,priced_equity,auto_conversion_trigger,5,5,100,0,0.000000,0,0,0.000000
gemma3-1b,redemption_rights,priced_equity,redemption_rights,10,10,200,2,0.200000,0,0,0.000000
gemma3-1b,safe_valuation_cap,convertibles,safe_valuation_cap,8,8,160,3,0.375000,0,0,0.062500
gemma3-1b,safe_discount_rate,convertibles,safe_discount_rate,9,9,180,4,0.444444,0,0,0.000000
gemma3-1b,safe_cap_vs_discount_applies,convertibles,safe_cap_vs_discount_applies,13,13,260,7,0.538462,0,0,0.030769
gemma3-1b,safe_pre_post,convertibles,safe_cap_type,16,16,320,1,0.062500,0,0,0.000000
gemma3-1b,safe_mfn_present,convertibles,safe_mfn_present,7,7,140,2,0.285714,0,0,0.000000
gemma3-1b,safe_pro_rata_side_letter,convertibles,safe_pro_rata_side_letter,15,15,300,5,0.333333,0,0,0.000000
gemma3-1b,note_principal,convertibles,note_principal,7,7,140,0,0.000000,0,0,0.014286
gemma3-1b,note_interest_rate,convertibles,note_interest_rate,6,6,120,0,0.000000,0,0,0.016667
gemma3-1b,note_maturity_date,convertibles,note_maturity_date,4,4,80,2,0.500000,0,0,0.012500
